PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,CabinOnDeck,Embarked
54,1,2,1,29.0,1,0,26.0,0,2
55,0,1,0,65.0,0,1,61.9792,6,0
56,1,1,0,28.0,0,0,35.5,1,2
57,1,2,1,21.0,0,0,10.5,0,2
58,0,3,0,28.5,0,0,7.2292,0,0
59,1,2,1,5.0,1,2,27.75,0,2
60,0,3,0,11.0,5,2,46.9,0,2
61,0,3,0,22.0,0,0,7.2292,0,0
62,1,1,1,38.0,0,0,80.0,6,2
63,0,1,0,45.0,1,0,83.475,1,2
64,0,3,0,4.0,3,2,27.9,0,2
65,0,1,0,28.0,0,0,27.7208,0,0
66,1,3,0,28.0,1,1,15.2458,0,0
67,1,2,1,29.0,0,0,10.5,7,2
68,0,3,0,19.0,0,0,8.1583,0,2
69,1,3,1,17.0,4,2,7.925,0,2
70,0,3,0,26.0,2,0,8.6625,0,2
71,0,2,0,32.0,0,0,10.5,0,2
72,0,3,1,16.0,5,2,46.9,0,2
73,0,2,0,21.0,0,0,73.5,0,2
74,0,3,0,26.0,1,0,14.4542,0,0
75,1,3,0,32.0,0,0,56.4958,0,2
76,0,3,0,25.0,0,0,7.65,7,2
77,0,3,0,28.0,0,0,7.8958,0,2
78,0,3,0,28.0,0,0,8.05,0,2
79,1,2,0,0.83,0,2,29.0,0,2
80,1,3,1,30.0,0,0,12.475,0,2
81,0,3,0,22.0,0,0,9.0,0,2
82,1,3,0,29.0,0,0,9.5,0,2
83,1,3,1,28.0,0,0,7.7875,0,1
84,0,1,0,28.0,0,0,47.1,0,2
85,1,2,1,17.0,0,0,10.5,0,2
86,1,3,1,33.0,3,0,15.85,0,2
87,0,3,0,16.0,1,3,34.375,0,2
88,0,3,0,28.0,0,0,8.05,0,2
89,1,1,1,23.0,3,2,263.0,1,2
90,0,3,0,24.0,0,0,8.05,0,2
91,0,3,0,29.0,0,0,8.05,0,2
92,0,3,0,20.0,0,0,7.8542,0,2
93,0,1,0,46.0,1,0,61.175,2,2
94,0,3,0,26.0,1,2,20.575,0,2
95,0,3,0,59.0,0,0,7.25,0,2
96,0,3,0,28.0,0,0,8.05,0,2
97,0,1,0,71.0,0,0,34.6542,5,0
98,1,1,0,23.0,0,1,63.3583,4,0
99,1,2,1,34.0,0,1,23.0,0,2
100,0,2,0,34.0,1,0,26.0,0,2
101,0,3,1,28.0,0,0,7.8958,0,2
102,0,3,0,28.0,0,0,7.8958,0,2
103,0,1,0,21.0,0,1,77.2875,4,2
104,0,3,0,33.0,0,0,8.6542,0,2
105,0,3,0,37.0,2,0,7.925,0,2
106,0,3,0,28.0,0,0,7.8958,0,2
107,1,3,1,21.0,0,0,7.65,0,2
108,1,3,0,28.0,0,0,7.775,0,2
109,0,3,0,38.0,0,0,7.8958,0,2
110,1,3,1,28.0,1,0,24.15,0,1
111,0,1,0,47.0,0,0,52.0,1,2
112,0,3,1,14.5,1,0,14.4542,0,0
113,0,3,0,22.0,0,0,8.05,0,2
114,0,3,1,20.0,1,0,9.825,0,2
115,0,3,1,17.0,0,0,14.4583,0,0
116,0,3,0,21.0,0,0,7.925,0,2
117,0,3,0,70.5,0,0,7.75,0,1
118,0,2,0,29.0,1,0,21.0,0,2
119,0,1,0,24.0,0,1,247.5208,6,0
120,0,3,1,2.0,4,2,31.275,0,2
121,0,2,0,21.0,2,0,73.5,0,2
122,0,3,0,28.0,0,0,8.05,0,2
123,0,2,0,32.5,1,0,30.0708,0,0
124,1,2,1,32.5,0,0,13.0,2,2
125,0,1,0,54.0,0,1,77.2875,4,2
126,1,3,0,12.0,1,0,11.2417,0,0
127,0,3,0,28.0,0,0,7.75,0,1
128,1,3,0,24.0,0,0,7.1417,0,2
129,1,3,1,28.0,1,1,22.3583,7,0
130,0,3,0,45.0,0,0,6.975,0,2
131,0,3,0,33.0,0,0,7.8958,0,0
132,0,3,0,20.0,0,0,7.05,0,2
133,0,3,1,47.0,1,0,14.5,0,2
134,1,2,1,29.0,1,0,26.0,0,2
135,0,2,0,25.0,0,0,13.0,0,2
136,0,2,0,23.0,0,0,15.0458,0,0
137,1,1,1,19.0,0,2,26.2833,4,2
138,0,1,0,37.0,1,0,53.1,1,2
139,0,3,0,16.0,0,0,9.2167,0,2
140,0,1,0,24.0,0,0,79.2,6,0
141,0,3,1,28.0,0,2,15.2458,0,0
142,1,3,1,22.0,0,0,7.75,0,2
143,1,3,1,24.0,1,0,15.85,0,2
144,0,3,0,19.0,0,0,6.75,0,1
145,0,2,0,18.0,0,0,11.5,0,2
146,0,2,0,19.0,1,1,36.75,0,2
147,1,3,0,27.0,0,0,7.7958,0,2
148,0,3,1,9.0,2,2,34.375,0,2
149,0,2,0,36.5,0,2,26.0,7,2
150,0,2,0,42.0,0,0,13.0,0,2
151,0,2,0,51.0,0,0,12.525,0,2
152,1,1,1,22.0,1,0,66.6,1,2
153,0,3,0,55.5,0,0,8.05,0,2
154,0,3,0,40.5,0,2,14.5,0,2
155,0,3,0,28.0,0,0,7.3125,0,2
156,0,1,0,51.0,0,1,61.3792,0,0
157,1,3,1,16.0,0,0,7.7333,0,1
158,0,3,0,30.0,0,0,8.05,0,2
159,0,3,0,28.0,0,0,8.6625,0,2
160,0,3,0,28.0,8,2,69.55,0,2
161,0,3,0,44.0,0,1,16.1,0,2
162,1,2,1,40.0,0,0,15.75,0,2
163,0,3,0,26.0,0,0,7.775,0,2
164,0,3,0,17.0,0,0,8.6625,0,2
165,0,3,0,1.0,4,1,39.6875,0,2
166,1,3,0,9.0,0,2,20.525,0,2
167,1,1,1,28.0,0,1,55.0,2,2
168,0,3,1,45.0,1,4,27.9,0,2
169,0,1,0,28.0,0,0,25.925,0,2
170,0,3,0,28.0,0,0,56.4958,0,2
171,0,1,0,61.0,0,0,33.5,6,2
172,0,3,0,4.0,4,1,29.125,0,1
173,1,3,1,1.0,1,1,11.1333,0,2
174,0,3,0,21.0,0,0,7.925,0,2
175,0,1,0,56.0,0,0,30.6958,5,0
176,0,3,0,18.0,1,1,7.8542,0,2
177,0,3,0,28.0,3,1,25.4667,0,2
178,0,1,1,50.0,0,0,28.7125,1,0
179,0,2,0,30.0,0,0,13.0,0,2
180,0,3,0,36.0,0,0,0.0,0,2
181,0,3,1,28.0,8,2,69.55,0,2
182,0,2,0,28.0,0,0,15.05,0,0
183,0,3,0,9.0,4,2,31.3875,0,2
184,1,2,0,1.0,2,1,39.0,7,2
185,1,3,1,4.0,0,2,22.025,0,2
186,0,1,0,28.0,0,0,50.0,5,2
187,1,3,1,28.0,1,0,15.5,0,1
188,1,1,0,45.0,0,0,26.55,0,2
189,0,3,0,40.0,1,1,15.5,0,1
190,0,3,0,36.0,0,0,7.8958,0,2
191,1,2,1,32.0,0,0,13.0,0,2
192,0,2,0,19.0,0,0,13.0,0,2
193,1,3,1,19.0,1,0,7.8542,0,2
194,1,2,0,3.0,1,1,26.0,7,2
195,1,1,1,44.0,0,0,27.7208,6,0
196,1,1,1,58.0,0,0,146.5208,6,0
197,0,3,0,28.0,0,0,7.75,0,1
198,0,3,0,42.0,0,1,8.4042,0,2
199,1,3,1,28.0,0,0,7.75,0,1
200,0,2,1,24.0,0,0,13.0,0,2
201,0,3,0,28.0,0,0,9.5,0,2
202,0,3,0,28.0,8,2,69.55,0,2
203,0,3,0,34.0,0,0,6.4958,0,2
204,0,3,0,45.5,0,0,7.225,0,0
205,1,3,0,18.0,0,0,8.05,0,2
206,0,3,1,2.0,0,1,10.4625,3,2
207,0,3,0,32.0,1,0,15.85,0,2
208,1,3,0,26.0,0,0,18.7875,0,0
209,1,3,1,16.0,0,0,7.75,0,1
210,1,1,0,40.0,0,0,31.0,5,0
211,0,3,0,24.0,0,0,7.05,0,2
212,1,2,1,35.0,0,0,21.0,0,2
213,0,3,0,22.0,0,0,7.25,0,2
214,0,2,0,30.0,0,0,13.0,0,2
215,0,3,0,28.0,1,0,7.75,0,1
216,1,1,1,31.0,1,0,113.275,4,0
217,1,3,1,27.0,0,0,7.925,0,2
218,0,2,0,42.0,1,0,27.0,0,2
219,1,1,1,32.0,0,0,76.2917,4,0
220,0,2,0,30.0,0,0,10.5,0,2
221,1,3,0,16.0,0,0,8.05,0,2
222,0,2,0,27.0,0,0,13.0,0,2
223,0,3,0,51.0,0,0,8.05,0,2
224,0,3,0,28.0,0,0,7.8958,0,2
225,1,1,0,38.0,1,0,90.0,1,2
226,0,3,0,22.0,0,0,9.35,0,2
227,1,2,0,19.0,0,0,10.5,0,2
228,0,3,0,20.5,0,0,7.25,0,2
229,0,2,0,18.0,0,0,13.0,0,2
230,0,3,1,28.0,3,1,25.4667,0,2
231,1,1,1,35.0,1,0,83.475,1,2
232,0,3,0,29.0,0,0,7.775,0,2
233,0,2,0,59.0,0,0,13.5,0,2
234,1,3,1,5.0,4,2,31.3875,0,2
235,0,2,0,24.0,0,0,10.5,0,2
236,0,3,1,28.0,0,0,7.55,0,2
237,0,2,0,44.0,1,0,26.0,0,2
238,1,2,1,8.0,0,2,26.25,0,2
239,0,2,0,19.0,0,0,10.5,0,2
240,0,2,0,33.0,0,0,12.275,0,2
241,0,3,1,28.0,1,0,14.4542,0,0
242,1,3,1,28.0,1,0,15.5,0,1
243,0,2,0,29.0,0,0,10.5,0,2
244,0,3,0,22.0,0,0,7.125,0,2
245,0,3,0,30.0,0,0,7.225,0,0
246,0,1,0,44.0,2,0,90.0,1,1
247,0,3,1,25.0,0,0,7.775,0,2
248,1,2,1,24.0,0,2,14.5,0,2
249,1,1,0,37.0,1,1,52.5542,4,2
250,0,2,0,54.0,1,0,26.0,0,2
251,0,3,0,28.0,0,0,7.25,0,2
252,0,3,1,29.0,1,1,10.4625,3,2
253,0,1,0,62.0,0,0,26.55,1,2
254,0,3,0,30.0,1,0,16.1,0,2
255,0,3,1,41.0,0,2,20.2125,0,2
256,1,3,1,29.0,0,2,15.2458,0,0
257,1,1,1,28.0,0,0,79.2,0,0
258,1,1,1,30.0,0,0,86.5,6,2
259,1,1,1,35.0,0,0,512.3292,0,0
260,1,2,1,50.0,0,1,26.0,0,2
261,0,3,0,28.0,0,0,7.75,0,1
262,1,3,0,3.0,4,2,31.3875,0,2
263,0,1,0,52.0,1,1,79.65,2,2
264,0,1,0,40.0,0,0,0.0,6,2
265,0,3,1,28.0,0,0,7.75,0,1
266,0,2,0,36.0,0,0,10.5,0,2
267,0,3,0,16.0,4,1,39.6875,0,2
268,1,3,0,25.0,1,0,7.775,0,2
269,1,1,1,58.0,0,1,153.4625,1,2
270,1,1,1,35.0,0,0,135.6333,1,2
271,0,1,0,28.0,0,0,31.0,0,2
272,1,3,0,25.0,0,0,0.0,0,2
273,1,2,1,41.0,0,1,19.5,0,2
274,0,1,0,37.0,0,1,29.7,1,0
275,1,3,1,28.0,0,0,7.75,0,1
276,1,1,1,63.0,1,0,77.9583,4,2
277,0,3,1,45.0,0,0,7.75,0,2
278,0,2,0,28.0,0,0,0.0,0,2
279,0,3,0,7.0,4,1,29.125,0,1
280,1,3,1,35.0,1,1,20.25,0,2
281,0,3,0,65.0,0,0,7.75,0,1
282,0,3,0,28.0,0,0,7.8542,0,2
283,0,3,0,16.0,0,0,9.5,0,2
284,1,3,0,19.0,0,0,8.05,0,2
285,0,1,0,28.0,0,0,26.0,5,2
286,0,3,0,33.0,0,0,8.6625,0,0
287,1,3,0,30.0,0,0,9.5,0,2
288,0,3,0,22.0,0,0,7.8958,0,2
289,1,2,0,42.0,0,0,13.0,0,2
290,1,3,1,22.0,0,0,7.75,0,1
291,1,1,1,26.0,0,0,78.85,0,2
292,1,1,1,19.0,1,0,91.0792,6,0
293,0,2,0,36.0,0,0,12.875,4,0
294,0,3,1,24.0,0,0,8.85,0,2
295,0,3,0,24.0,0,0,7.8958,0,2
296,0,1,0,28.0,0,0,27.7208,0,0
297,0,3,0,23.5,0,0,7.2292,0,0
298,0,1,1,2.0,1,2,151.55,1,2
299,1,1,0,28.0,0,0,30.5,1,2
300,1,1,1,50.0,0,1,247.5208,6,0
301,1,3,1,28.0,0,0,7.75,0,1
302,1,3,0,28.0,2,0,23.25,0,1
303,0,3,0,19.0,0,0,0.0,0,2
304,1,2,1,28.0,0,0,12.35,2,1
305,0,3,0,28.0,0,0,8.05,0,2
306,1,1,0,0.92,1,2,151.55,1,2
307,1,1,1,28.0,0,0,110.8833,0,0
308,1,1,1,17.0,1,0,108.9,1,0
309,0,2,0,30.0,1,0,24.0,0,0
310,1,1,1,30.0,0,0,56.9292,2,0
311,1,1,1,24.0,0,0,83.1583,1,0
312,1,1,1,18.0,2,2,262.375,6,0
313,0,2,1,26.0,1,1,26.0,0,2
314,0,3,0,28.0,0,0,7.8958,0,2
315,0,2,0,43.0,1,1,26.25,0,2
316,1,3,1,26.0,0,0,7.8542,0,2
317,1,2,1,24.0,1,0,26.0,0,2
318,0,2,0,54.0,0,0,14.0,0,2
319,1,1,1,31.0,0,2,164.8667,1,2
320,1,1,1,40.0,1,1,134.5,2,0
321,0,3,0,22.0,0,0,7.25,0,2
322,0,3,0,27.0,0,0,7.8958,0,2
323,1,2,1,30.0,0,0,12.35,0,1
324,1,2,1,22.0,1,1,29.0,0,2
325,0,3,0,28.0,8,2,69.55,0,2
326,1,1,1,36.0,0,0,135.6333,1,0
327,0,3,0,61.0,0,0,6.2375,0,2
328,1,2,1,36.0,0,0,13.0,4,2
329,1,3,1,31.0,1,1,20.525,0,2
330,1,1,1,16.0,0,1,57.9792,6,0
331,1,3,1,28.0,2,0,23.25,0,1
332,0,1,0,45.5,0,0,28.5,1,2
333,0,1,0,38.0,0,1,153.4625,1,2
334,0,3,0,16.0,2,0,18.0,0,2
335,1,1,1,28.0,1,0,133.65,0,2
336,0,3,0,28.0,0,0,7.8958,0,2
337,0,1,0,29.0,1,0,66.6,1,2
338,1,1,1,41.0,0,0,134.5,2,0
339,1,3,0,45.0,0,0,8.05,0,2
340,0,1,0,45.0,0,0,35.5,8,2
341,1,2,0,2.0,1,1,26.0,7,2
342,1,1,1,24.0,3,2,263.0,1,2
343,0,2,0,28.0,0,0,13.0,0,2
344,0,2,0,25.0,0,0,13.0,0,2
345,0,2,0,36.0,0,0,13.0,0,2
346,1,2,1,24.0,0,0,13.0,7,2
347,1,2,1,40.0,0,0,13.0,0,2
348,1,3,1,28.0,1,0,16.1,0,2
349,1,3,0,3.0,1,1,15.9,0,2
350,0,3,0,42.0,0,0,8.6625,0,2
351,0,3,0,23.0,0,0,9.225,0,2
352,0,1,0,28.0,0,0,35.0,1,2
353,0,3,0,15.0,1,1,7.2292,0,0
354,0,3,0,25.0,1,0,17.8,0,2
355,0,3,0,28.0,0,0,7.225,0,0
356,0,3,0,28.0,0,0,9.5,0,2
357,1,1,1,22.0,0,1,55.0,2,2
358,0,2,1,38.0,0,0,13.0,0,2
359,1,3,1,28.0,0,0,7.8792,0,1
360,1,3,1,28.0,0,0,7.8792,0,1
361,0,3,0,40.0,1,4,27.9,0,2
362,0,2,0,29.0,1,0,27.7208,0,0
363,0,3,1,45.0,0,1,14.4542,0,0
364,0,3,0,35.0,0,0,7.05,0,2
365,0,3,0,28.0,1,0,15.5,0,1
366,0,3,0,30.0,0,0,7.25,0,2
367,1,1,1,60.0,1,0,75.25,4,0
368,1,3,1,28.0,0,0,7.2292,0,0
369,1,3,1,28.0,0,0,7.75,0,1
370,1,1,1,24.0,0,0,69.3,6,0
371,1,1,0,25.0,1,0,55.4417,2,0
372,0,3,0,18.0,1,0,6.4958,0,2
373,0,3,0,19.0,0,0,8.05,0,2
374,0,1,0,22.0,0,0,135.6333,0,0
375,0,3,1,3.0,3,1,21.075,0,2
376,1,1,1,28.0,1,0,82.1708,0,0
377,1,3,1,22.0,0,0,7.25,0,2
378,0,1,0,27.0,0,2,211.5,1,0
379,0,3,0,20.0,0,0,4.0125,0,0
380,0,3,0,19.0,0,0,7.775,0,2
381,1,1,1,42.0,0,0,227.525,0,0
382,1,3,1,1.0,0,2,15.7417,0,0
383,0,3,0,32.0,0,0,7.925,0,2
384,1,1,1,35.0,1,0,52.0,0,2
385,0,3,0,28.0,0,0,7.8958,0,2
386,0,2,0,18.0,0,0,73.5,0,2
387,0,3,0,1.0,5,2,46.9,0,2
388,1,2,1,36.0,0,0,13.0,0,2
389,0,3,0,28.0,0,0,7.7292,0,1
390,1,2,1,17.0,0,0,12.0,0,0
391,1,1,0,36.0,1,2,120.0,6,2
392,1,3,0,21.0,0,0,7.7958,0,2
393,0,3,0,28.0,2,0,7.925,0,2
394,1,1,1,23.0,1,0,113.275,4,0
395,1,3,1,24.0,0,2,16.7,3,2
396,0,3,0,22.0,0,0,7.7958,0,2
397,0,3,1,31.0,0,0,7.8542,0,2
398,0,2,0,46.0,0,0,26.0,0,2
399,0,2,0,23.0,0,0,10.5,0,2
400,1,2,1,28.0,0,0,12.65,0,2
401,1,3,0,39.0,0,0,7.925,0,2
402,0,3,0,26.0,0,0,8.05,0,2
403,0,3,1,21.0,1,0,9.825,0,2
404,0,3,0,28.0,1,0,15.85,0,2
405,0,3,1,20.0,0,0,8.6625,0,2
406,0,2,0,34.0,1,0,21.0,0,2
407,0,3,0,51.0,0,0,7.75,0,2
408,1,2,0,3.0,1,1,18.75,0,2
409,0,3,0,21.0,0,0,7.775,0,2
410,0,3,1,28.0,3,1,25.4667,0,2
411,0,3,0,28.0,0,0,7.8958,0,2
412,0,3,0,28.0,0,0,6.8583,0,1
413,1,1,1,33.0,1,0,90.0,1,1
414,0,2,0,28.0,0,0,0.0,0,2
415,1,3,0,44.0,0,0,7.925,0,2
416,0,3,1,28.0,0,0,8.05,0,2
417,1,2,1,34.0,1,1,32.5,0,2
418,1,2,1,18.0,0,2,13.0,0,2
419,0,2,0,30.0,0,0,13.0,0,2
420,0,3,1,10.0,0,2,24.15,0,2
421,0,3,0,28.0,0,0,7.8958,0,0
422,0,3,0,21.0,0,0,7.7333,0,1
423,0,3,0,29.0,0,0,7.875,0,2
424,0,3,1,28.0,1,1,14.4,0,2
425,0,3,0,18.0,1,1,20.2125,0,2
426,0,3,0,28.0,0,0,7.25,0,2
427,1,2,1,28.0,1,0,26.0,0,2
428,1,2,1,19.0,0,0,26.0,0,2
429,0,3,0,28.0,0,0,7.75,0,1
430,1,3,0,32.0,0,0,8.05,2,2
431,1,1,0,28.0,0,0,26.55,1,2
432,1,3,1,28.0,1,0,16.1,0,2
433,1,2,1,42.0,1,0,26.0,0,2
434,0,3,0,17.0,0,0,7.125,0,2
435,0,1,0,50.0,1,0,55.9,2,2
436,1,1,1,14.0,1,2,120.0,6,2
437,0,3,1,21.0,2,2,34.375,0,2
438,1,2,1,24.0,2,3,18.75,0,2
439,0,1,0,64.0,1,4,263.0,1,2
440,0,2,0,31.0,0,0,10.5,0,2
441,1,2,1,45.0,1,1,26.25,0,2
442,0,3,0,20.0,0,0,9.5,0,2
443,0,3,0,25.0,1,0,7.775,0,2
444,1,2,1,28.0,0,0,13.0,0,2
445,1,3,0,28.0,0,0,8.1125,0,2
446,1,1,0,4.0,0,2,81.8583,5,2
447,1,2,1,13.0,0,1,19.5,0,2
448,1,1,0,34.0,0,0,26.55,0,2
449,1,3,1,5.0,2,1,19.2583,0,0
450,1,1,0,52.0,0,0,30.5,1,2
451,0,2,0,36.0,1,2,27.75,0,2
452,0,3,0,28.0,1,0,19.9667,0,2
453,0,1,0,30.0,0,0,27.75,1,0
454,1,1,0,49.0,1,0,89.1042,1,0
455,0,3,0,28.0,0,0,8.05,0,2
456,1,3,0,29.0,0,0,7.8958,0,0
457,0,1,0,65.0,0,0,26.55,2,2
458,1,1,1,28.0,1,0,51.8625,4,2
459,1,2,1,50.0,0,0,10.5,0,2
460,0,3,0,28.0,0,0,7.75,0,1
461,1,1,0,48.0,0,0,26.55,2,2
462,0,3,0,34.0,0,0,8.05,0,2
463,0,1,0,47.0,0,0,38.5,2,2
464,0,2,0,48.0,0,0,13.0,0,2
465,0,3,0,28.0,0,0,8.05,0,2
466,0,3,0,38.0,0,0,7.05,0,2
467,0,2,0,28.0,0,0,0.0,0,2
468,0,1,0,56.0,0,0,26.55,0,2
469,0,3,0,28.0,0,0,7.725,0,1
470,1,3,1,0.75,2,1,19.2583,0,0
471,0,3,0,28.0,0,0,7.25,0,2
472,0,3,0,38.0,0,0,8.6625,0,2
473,1,2,1,33.0,1,2,27.75,0,2
474,1,2,1,23.0,0,0,13.7917,4,0
475,0,3,1,22.0,0,0,9.8375,0,2
476,0,1,0,28.0,0,0,52.0,5,2
477,0,2,0,34.0,1,0,21.0,0,2
478,0,3,0,29.0,1,0,7.0458,0,2
479,0,3,0,22.0,0,0,7.5208,0,2
480,1,3,1,2.0,0,1,12.2875,0,2
481,0,3,0,9.0,5,2,46.9,0,2
482,0,2,0,28.0,0,0,0.0,0,2
483,0,3,0,50.0,0,0,8.05,0,2
484,1,3,1,63.0,0,0,9.5875,0,2
485,1,1,0,25.0,1,0,91.0792,6,0
486,0,3,1,28.0,3,1,25.4667,0,2
487,1,1,1,35.0,1,0,90.0,1,2
488,0,1,0,58.0,0,0,29.7,6,0
489,0,3,0,30.0,0,0,8.05,0,2
490,1,3,0,9.0,1,1,15.9,0,2
491,0,3,0,28.0,1,0,19.9667,0,2
492,0,3,0,21.0,0,0,7.25,0,2
493,0,1,0,55.0,0,0,30.5,1,2
494,0,1,0,71.0,0,0,49.5042,0,0
495,0,3,0,21.0,0,0,8.05,0,2
496,0,3,0,28.0,0,0,14.4583,0,0
497,1,1,1,54.0,1,0,78.2667,4,0
498,0,3,0,28.0,0,0,15.1,0,2
499,0,1,1,25.0,1,2,151.55,1,2
500,0,3,0,24.0,0,0,7.7958,0,2
501,0,3,0,17.0,0,0,8.6625,0,2
502,0,3,1,21.0,0,0,7.75,0,1
503,0,3,1,28.0,0,0,7.6292,0,1
504,0,3,1,37.0,0,0,9.5875,0,2
505,1,1,1,16.0,0,0,86.5,6,2
506,0,1,0,18.0,1,0,108.9,1,0
507,1,2,1,33.0,0,2,26.0,0,2
508,1,1,0,28.0,0,0,26.55,0,2
509,0,3,0,28.0,0,0,22.525,0,2
510,1,3,0,26.0,0,0,56.4958,0,2
511,1,3,0,29.0,0,0,7.75,0,1
512,0,3,0,28.0,0,0,8.05,0,2
513,1,1,0,36.0,0,0,26.2875,2,2
514,1,1,1,54.0,1,0,59.4,0,0
515,0,3,0,24.0,0,0,7.4958,0,2
516,0,1,0,47.0,0,0,34.0208,4,2
517,1,2,1,34.0,0,0,10.5,7,2
518,0,3,0,28.0,0,0,24.15,0,1
519,1,2,1,36.0,1,0,26.0,0,2
520,0,3,0,32.0,0,0,7.8958,0,2
521,1,1,1,30.0,0,0,93.5,6,2
522,0,3,0,22.0,0,0,7.8958,0,2
523,0,3,0,28.0,0,0,7.225,0,0
524,1,1,1,44.0,0,1,57.9792,6,0
525,0,3,0,28.0,0,0,7.2292,0,0
526,0,3,0,40.5,0,0,7.75,0,1
527,1,2,1,50.0,0,0,10.5,0,2
528,0,1,0,28.0,0,0,221.7792,1,2
529,0,3,0,39.0,0,0,7.925,0,2
530,0,2,0,23.0,2,1,11.5,0,2
531,1,2,1,2.0,1,1,26.0,0,2
532,0,3,0,28.0,0,0,7.2292,0,0
533,0,3,0,17.0,1,1,7.2292,0,0
534,1,3,1,28.0,0,2,22.3583,0,0
535,0,3,1,30.0,0,0,8.6625,0,2
536,1,2,1,7.0,0,2,26.25,0,2
537,0,1,0,45.0,0,0,26.55,6,2
538,1,1,1,30.0,0,0,106.425,0,0
539,0,3,0,28.0,0,0,14.5,0,2
540,1,1,1,22.0,0,2,49.5,6,0
541,1,1,1,36.0,0,2,71.0,6,2
542,0,3,1,9.0,4,2,31.275,0,2
543,0,3,1,11.0,4,2,31.275,0,2
544,1,2,0,32.0,1,0,26.0,0,2
545,0,1,0,50.0,1,0,106.425,1,0
546,0,1,0,64.0,0,0,26.0,0,2
547,1,2,1,19.0,1,0,26.0,0,2
548,1,2,0,28.0,0,0,13.8625,0,0
549,0,3,0,33.0,1,1,20.525,0,2
550,1,2,0,8.0,1,1,36.75,0,2
551,1,1,0,17.0,0,2,110.8833,1,0
552,0,2,0,27.0,0,0,26.0,0,2
553,0,3,0,28.0,0,0,7.8292,0,1
554,1,3,0,22.0,0,0,7.225,0,0
555,1,3,1,22.0,0,0,7.775,0,2
556,0,1,0,62.0,0,0,26.55,0,2
557,1,1,1,48.0,1,0,39.6,5,0
558,0,1,0,28.0,0,0,227.525,0,0
559,1,1,1,39.0,1,1,79.65,2,2
560,1,3,1,36.0,1,0,17.4,0,2
561,0,3,0,28.0,0,0,7.75,0,1
562,0,3,0,40.0,0,0,7.8958,0,2
563,0,2,0,28.0,0,0,13.5,0,2
564,0,3,0,28.0,0,0,8.05,0,2
565,0,3,1,28.0,0,0,8.05,0,2
566,0,3,0,24.0,2,0,24.15,0,2
567,0,3,0,19.0,0,0,7.8958,0,2
568,0,3,1,29.0,0,4,21.075,0,2
569,0,3,0,28.0,0,0,7.2292,0,0
570,1,3,0,32.0,0,0,7.8542,0,2
571,1,2,0,62.0,0,0,10.5,0,2
